Cod_Febraban,Seg_Febraban,Nome_Convênio,CNPJ,Grade,Descricao_Conv,
0001,3,ENERGISA SUL SUDESTE,7282377000120,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0003,3,EQUATORIAL ALAGOAS,12272084000100,"Restrita, até 20:45",ENERGIA ELETRICA/GAS,
0005,3,NEOENERGIA BRASILIA,7522669000192,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0006,3,CEEE DISTRIBUICAO,8467115000100,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0007,3,ENERGISA-BORBOREMA,8826596000195,"Restrita, até 20:45",ENERGIA ELETRICA/GAS,
0009,3,EQUATORIAL GOIAS,1543032000104,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0010,3,EQUATORIAL PARA,4895728000180,"Restrita, até 20:45",ENERGIA ELETRICA/GAS,
0011,3,CELPE,10835932000108,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0012,3,ENERGISA TO,25086034000171,"Restrita, até 20:45",ENERGIA ELETRICA/GAS,
0013,3,EQUATORIAL MARANHAO,6272793000184,"Restrita, até 20:45",ENERGIA ELETRICA/GAS,
0014,3,ENERGISA MT,3467321000199,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0016,3,ENERGISA N FRIBURGO,33249046000289,"Restrita, até 20:45",ENERGIA ELETRICA/GAS,
0017,3,EQUATORIAL PIAUI,6840748000189,"Restrita, até 20:45",ENERGIA ELETRICA/GAS,
0019,3,AMPLA,33050071000158,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0020,3,ENERGISA RO,5914650000166,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0022,3,ELEKTRO,2328280000197,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0023,3,CHESP,1377555000110,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0024,3,ENERGISA-MG,19527639000158,"Restrita, até 20:45",ENERGIA ELETRICA/GAS,
0025,3,REDE CFLO,7282377000120,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0026,3,CPFL LUZ MOCOCA,53859112000169,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0027,3,CLFSC,53859112000169,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0028,3,REDE CNEE,7282377000120,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0029,3,COCEL,75805895000130,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0030,3,COELBA,15139629000194,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0031,3,COELCE,7047251000170,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0038,3,COSERN,8324196000181,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0039,3,CPFL LESTE PTA,53859112000169,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0040,3,CPFL PAULISTA,33050196000188,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0042,3,REDE EMPR BRAGANTINA,7282377000120,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0043,3,REDE EEVP,7282377000120,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0044,3,ELF SANTA MARIA,27485069000109,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0048,3,ELETROPAULO,61695227000193,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0049,3,ENERGISA-SE,13017462000163,"Restrita, até 20:45",ENERGIA ELETRICA/GAS,
0050,3,ENERGISA MS,15413826000150,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0051,3,EDP ES,28152650000171,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0052,3,CPFL CIA JAGUARI,53859112000169,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0053,3,LIGHT,60444437000146,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0054,3,ENERGISA-PB,9095183000140,"Restrita, até 20:45",ENERGIA ELETRICA/GAS,
0055,3,CPFL SUL PTA,53859112000169,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0056,3,CEG,33938119000169,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0057,3,COMGAS,61856571000117,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0073,3,EDP SAO PAULO,2302100000106,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0074,3,COOP ALIANCA,83647990000181,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0077,3,COMPAGAS,535681000192,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0080,3,CERMESO,45961307000197,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0082,3,CEREJ,82574864000181,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0086,3,RGE SUL,2016440000162,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0089,3,RGE,2016440000162,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0093,3,ENERGISA TO,25086034000171,"Restrita, até 20:45",ENERGIA ELETRICA/GAS,
0097,3,COOPERNORTE,88022918000182,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0100,3,CEG RIO(REG RESENDE),1695370000153,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0110,3,CPFL PIRATININGA,4172213000151,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0111,3,COPEL DISTRIBUICAO,4368898000106,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0116,3,GAS NATURAL SP,2863830000178,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0119,3,CERVAM,55188502000180,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0131,3,CERR RORAIMA,5938444000196,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0135,3,COOPERSUL,87462750000163,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0136,3,COOP CASTROLANDA,76108240000176,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0138,3,CEMIG DISTRIBUICAO,6981180000116,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0145,3,ENERGISA-MG-FIDC,19527639000158,"Restrita, até 20:45",ENERGIA ELETRICA/GAS,
0146,3,ENERGISA-NF-FIDC,60701190000104,"Restrita, até 20:45",ENERGIA ELETRICA/GAS,
0147,3,ENERGISA-BOR-FIDC,8826596000195,"Restrita, até 20:45",ENERGIA ELETRICA/GAS,
